adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
64-66, RUE DE MEAUX;2013;RIVP;191;;;;191;acquisition conventionnement;;75019;logement familial;48.882728, 2.375637
64-70 RUE COMPANS;2001;RIVP;314;;;;314;acquisition conventionnement;;75019;logement familial;48.878968, 2.392587
65 RUE PAJOL;2007;RIVP;28;;;14;14;acquisition réhabilitation;;75018;logement familial;48.890459, 2.363065
66 BIS RUE DES PYRENEES;2009;ELOGIE;11;8;;;3;acquisition réhabilitation;;75020;logement familial;48.853415, 2.406051
66, RUE DES PLANTES;2010;RSF;66;66;;;;construction neuve;;75014;foyer pour personnes handicapées;48.826931, 2.320108
66, RUE LETELLIER 26, RUE DE LA CROIX NIVERT;2009;PARIS HAB;37;25;;2;10;acquisition conventionnement;;75015;logement familial;48.844876, 2.297087
67-69, AVENUE PARMENTIER;2012;EFIDIS;44;12;;12;20;acquisition réhabilitation;;75011;logement familial;48.864119, 2.375206
67-97, RUE DE LA GLACIERE 2, RUE VERGNIAUD 101-123 BD AUGUSTE BLANQUI;2011;PARIS HAB;73;29;;8;36;construction neuve;;75013;logement familial;48.831434, 2.342873
68 AV DU GENERAL BIZOT;2007;SIEMP;18;12;;;6;construction neuve;;75012;logement familial;48.835707, 2.40243
6-8 RUE DES THERMOPYLES 13-15 RUE DE PLAISANCE;2006;PARIS HAB;10;;;;10;construction neuve;projet abandonné refinancé;75014;logement familial;48.832486, 2.319278
6-8, RUE DE LA CORDERIE;2016;RIVP;30;14;;11;5;acquisition réhabilitation;;75003;logement familial;48.865018, 2.363179
6-8-10 IMPASSE LETORT 5-7-9, PASSAGE COMMUN;2007;RIVP;11;11;;;;construction neuve;;75018;logement familial;48.8952, 2.3443
69, RUE DES HAIES 2-4, PASSAGE JOSSEAUME;2014;RIVP;22;;;22;;construction neuve;;75020;foyer pour jeunes travailleurs ou résidence pour jeunes;48.854983, 2.402615
69BIS-71 BD PEREIRE;2006;IMM 3F;19;;;;19;construction neuve;;75017;logement familial;48.886883, 2.303276
7 RUE DES ABBESSES 25 RUE HOUDON;2016;RIVP;20;10;;10;;acquisition réhabilitation;;75018;logement familial;48.883917, 2.338905
7 RUE DES PROUVAIRES;2008;ELOGIE;15;15;;;;acquisition conventionnement;;75001;logement familial;48.861586, 2.344097
7 RUE DURANTI;2004;RIVP;82;41;;;41;acquisition conventionnement;;75011;logement familial;48.86105, 2.384269
7 RUE ERNEST LEFEBURE;2008;ELOGIE;1;1;;;;acquisition réhabilitation;;75012;logement familial;48.83713, 2.408968
7, BD SERURIER - 10, RUE DU LEMAN;2001;SAGI;8;8;;;;acquisition réhabilitation;;75019;logement familial;48.877402, 2.405764
7, IMPASSE DES CHEVALIERS;2016;HSF;6;3;;;3;construction neuve;;75020;logement familial;48.872063, 2.39652
7, IMPASSE DUPUY;2010;SIEMP;4;4;;;;acquisition réhabilitation;;75018;logement familial;48.888377, 2.36145
7, RUE DE PUTEAUX;2015;LERICHEMONT;18;;;18;;acquisition réhabilitation;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75017;foyer de travailleurs migrants;48.883063, 2.321756
7, RUE DU DESSOUS DES BERGES;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.824427, 2.375205
7, RUE D'UZES;2004;PARIS HAB;8;6;;2;;acquisition réhabilitation;;75002;logement familial;48.870424, 2.344858
7, RUE POUCHET;2013;RIVP;19;8;;5;6;acquisition réhabilitation;;75017;logement familial;48.892082, 2.318807
70 AVENUE EDISON;2009;PARIS HAB;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.82996, 2.359078
70 RUE DES VIGNOLES;2004;SNL-PROLOG;2;;;2;;acquisition conventionnement;;75020;logement familial;48.855403, 2.401786
70, RUE DE CLIGNANCOURT;2008;SADIF;12;6;;2;4;construction neuve;;75018;logement familial;48.889475, 2.348344
7-11, RUE NICOLAS HOUEL;2008;PARIS HAB;192;115;;20;57;acquisition conventionnement;;75005;logement familial;48.841802, 2.361566
7-11, RUE NICOLAS HOUEL;2012;PARIS HAB;1;;;1;;acquisition conventionnement;;75005;logement familial;48.841802, 2.361566
72, RUE DE LA JONQUIERE 46, RUE POUCHET;2015;RIVP;7;7;;;;construction neuve;;75017;logement familial;48.894233, 2.320749
72-76, RUE DU CHÂTEAU DES RENTIERS;2015;RIVP;42;;;;42;acquisition conventionnement;;75013;logement familial;48.826654, 2.368994
73, RUE DE LA CONVENTION;2013;ELOGIE;1;1;;;;acquisition conventionnement;;75015;logement familial;48.842703, 2.284647
74-76, RUE DAGUERRE 22-24, RUE DEPARCIEUX (LA BELIERE);2004;RIVP;8;8;;;;construction neuve;;75014;logement familial;48.835517, 2.325521
74-90 RUE BARRAULT 11-17 RUE AUGUSTE LANCON;2004;PARIS HAB;4;;;;4;acquisition réhabilitation;;75013;logement familial;48.823231, 2.344871
75 BD KELLERMANN;2016;ELOGIE;1;;;1;;acquisition réhabilitation;;75013;logement familial;48.820324, 2.348387
75, RUE DE REUILLY;2013;PARIS HAB;106;106;;;;construction neuve;;75012;établissement d'hébergement pour personnes âgées dépendantes;48.845054, 2.389334
75, RUE SAINT DENIS;2012;ELOGIE;11;8;;3;;construction neuve;;75001;logement familial;48.861682, 2.349034
75-77 BIS, RUE MARCADET - 15, PASSAGE RAMEY (HOTEL MATHAGON);2007;RIVP;9;;5;4;;construction neuve;;75018;logement familial;48.890269, 2.346878
75-83, RUE DE LA CHAPELLE , 1 ET 2 IMPASSE DU GUE;2005;PARIS HAB;44;;;14;30;construction neuve;;75018;logement familial;48.897166, 2.358479
76, RUE DE CLIGNANCOURT;2008;SIEMP;15;15;;;;construction neuve;;75018;logement familial;48.889816, 2.348411
76, RUE STENDHAL;2006;RIVP;48;48;;;;acquisition conventionnement;;75020;logement familial;48.863327, 2.399838
7-7 BIS, RUE TRETAIGNE;2002;LOG.FR.;42;42;;;;acquisition conventionnement;;75018;logement familial;48.891947, 2.342341
77 RUE CLAUDE DECAEN;2011;PARIS HAB;90;45;;;45;construction neuve;;75012;logement familial;48.837708, 2.39702
77-79, RUE LAUGIER ET 12, RUE GALVANI;2008;PARIS HAB;1;1;;;;acquisition conventionnement;;75017;logement familial;48.884537, 2.291712
78 RUE PIERRE DEMOURS;2002;PARIS HAB;22;16;;6;;acquisition conventionnement;;75017;logement familial;48.882761, 2.297923
78, RUE DES GRAVILLIERS;2010;ELOGIE;4;2;;2;;construction neuve;;75003;logement familial;48.86452, 2.354414
7-8, RUE DES PRAIRIES 3, CHEMIN DU PARC DE CHARONNE;2013;RIVP;52;;;;52;acquisition conventionnement;;75020;logement familial;48.861248, 2.404171
7-9, RUE ESCLANGON;2016;ELOGIE;4;1;;3;;construction neuve;;75018;logement familial;48.896717, 2.342554
79, RUE LEON FROT 14, RUE MERCOEUR;2016;SIEMP;22;12;;6;4;acquisition réhabilitation;;75011;logement familial;48.857531, 2.384626
7-9, RUE VICTOR SCHOELCHER;2013;RIVP;53;21;;16;16;construction neuve;;75014;logement familial;48.835884, 2.330694
79-87 RUE DE LA SANTE - ILOT 13;2009;SAGECO;34;34;;;;acquisition conventionnement;;75013;logement familial;48.83051, 2.341472
8 A 10, RUE DES LILAS 27-33 RUE DU PRE-SAINT GERVAIS;2003;SAGI;69;22;;;47;construction neuve;;75019;logement familial;48.878159, 2.39629
8 PASSAGE DE MENILMONTANT;2016;SIEMP;1;;;1;;acquisition réhabilitation;;75011;logement familial;48.864941, 2.382401
8 PLACE DE CLICHY;2016;SIEMP;1;;;1;;acquisition réhabilitation;;75009;logement familial;48.883501, 2.328154
39 BIS, RUE DE MONTREUIL;2007;BATIGERE;17;9;;;8;acquisition conventionnement;;75011;logement familial;48.850481, 2.387555
39 ET 41 RUE DU MOULIN DE LA POINTE 10-12 ET 15 RUE BOURGON;2005;SIEMP;9;;;9;;acquisition réhabilitation;;75013;logement familial;48.822856, 2.356641
39 RUE PAJOL;2009;SIEMP;2;2;;;;acquisition réhabilitation;;75018;logement familial;48.888422, 2.362095
3-9, RUE DU CHEVALERET;2015;ELOGIE;160;64;;48;48;acquisition réhabilitation;;75013;logement familial;48.825847, 2.378064
39, RUE LEON;2011;FRANC.HAB.;6;;;;6;construction neuve;;75018;logement familial;48.888873, 2.353515
391, RUE DES PYRENEES;2009;IMM 3F;62;31;;;31;acquisition réhabilitation;;75020;logement familial;48.873743, 2.387235
39-39 BIS RUE DE MONTREUIL;2008;FONCIERE;4;;;;4;construction neuve;;75011;logement familial;48.850481, 2.387555
4 RUE D'ABOUKIR;2007;PARIS HAB;38;;;38;;construction neuve;;75002;résidence sociale pour démuni;48.866054, 2.342188
4 RUE PERRAULT;2008;ELOGIE;16;16;;;;acquisition conventionnement;;75001;logement familial;48.860287, 2.341766
4 RUE THOREL;2004;SEM CENTRE;6;6;;;;acquisition réhabilitation;;75002;logement familial;48.869513, 2.34906
4, BD BARBES;2012;IMM 3F;1;1;;;;construction neuve;;75018;logement familial;48.884151, 2.349698
4, RUE D'ECOSSE;2004;SIEMP;5;5;;;;acquisition réhabilitation;;75005;logement familial;48.84816, 2.346508
4, RUE HIPPOLYTE LEBAS - 5, RUE CHORON;2009;RES.L.F.;4;;;;4;construction neuve;;75009;logement familial;48.87703, 2.341379
4, VILLA FAUCHEUR;2015;ADOMA;1;;;1;;construction neuve;;75020;résidence sociale pour démuni;48.871963, 2.386245
40 RUE DE TOURTILLE;2010;SIEMP;17;9;;;8;acquisition réhabilitation;projet abandonné refinancé;75020;logement familial;48.872415, 2.380318
40, RUE SERVAN;2010;SEMIDEP;20;12;;5;3;acquisition réhabilitation;;75011;logement familial;48.862078, 2.382392
403 BIS, RUE DE VAUGIRARD;2005;FLS;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.833025, 2.289073
40-42, RUE DE LA BIENFAISANCE;2003;ELOGIE;22;16;;6;;acquisition conventionnement;;75008;logement familial;48.876623, 2.315062
41 RUE D'ABOUKIR;2016;SIEMP;5;;;5;;construction neuve;;75002;résidence sociale pour démuni;48.867188, 2.344962
41, RUE D'ABOUKIR;2012;SIEMP;13;;;13;;construction neuve;;75002;maison relais;48.867188, 2.344962
41, RUE DE LA ROCHEFOUCAULD;2007;SEMIDEP;10;6;;4;;acquisition réhabilitation;;75009;logement familial;48.879819, 2.334976
41, RUE DE TREVISE;2001;RIVP;24;;;24;;acquisition réhabilitation;;75009;logement familial;48.87529, 2.345383
41, RUE ORTEAUX;2009;SIEMP;2;;;2;;acquisition réhabilitation;;75020;logement familial;48.85666, 2.401901
4-10 RUE TERNAUX;2003;SAGECO;53;53;;;;acquisition réhabilitation;;75011;logement familial;48.864184, 2.372802
4-14 PASSAGE DELESSERT ET 10-12, RUE PIERRE DUPONT;2008;SABLIERE;69;35;;17;17;construction neuve;;75010;logement familial;48.879199, 2.365027
42, BD MASSENA;2011;SIEMP;15;7;;;8;acquisition réhabilitation;;75013;logement familial;48.823006, 2.373023
42, RUE CAUCHY;2016;RIVP;14;;;14;;acquisition réhabilitation;;75015;logement familial;48.841999, 2.278645
42, RUE CHARLOT;2009;ELOGIE;4;2;;2;;acquisition réhabilitation;;75003;logement familial;48.862683, 2.362419
42, RUE DE LANCRY;2015;RIVP;12;4;;4;4;acquisition conventionnement;;75010;logement familial;48.871566, 2.362263
42, RUE DU LOUVRE;2011;ELOGIE;50;26;;12;12;construction neuve;;75001;logement familial;48.863304, 2.342209
43 , BD DE CLICHY;2009;ELOGIE;13;6;;4;3;acquisition réhabilitation;;75009;logement familial;48.880092, 2.328913
43 BIS, RUE DESNOUETTES;2010;PARIS HAB;12;8;;4;;construction neuve;;75015;logement familial;48.835906, 2.288225
43-53 RUE DU CHAROLAIS;2009;SABLIERE;65;30;;35;;construction neuve;;75012;foyer pour jeunes travailleurs ou résidence pour jeunes;48.841351, 2.385589
44 RUE DE LA FEDERATION;2005;SEMEA XV;6;;;6;;acquisition réhabilitation;;75015;logement familial;48.853878, 2.293613
44, RUE SEBASTIEN MERCIER;2014;PARIS HAB;1;1;;;;construction neuve;;75015;logement familial;48.843953, 2.279586
44-50, RUE PETION 88, RUE DU CHEMIN VERT;2006;PARIS HAB;38;33;;5;;acquisition conventionnement;;75011;logement familial;48.859164, 2.375197
45, RUE MYRHA 31, RUE DES GARDES (HS);2002;PARIS HAB;5;5;;;;construction neuve;;75018;logement familial;48.885861, 2.352906
45, RUE SAUFFROY;2013;RIVP;7;7;;;;acquisition réhabilitation;;75017;logement familial;48.892811, 2.321996
45-53, AVENUE PHILIPPE AUGUSTE;2010;PARIS HAB;2;;;2;;acquisition conventionnement;;75011;logement familial;48.852568, 2.393077
4-6 VILLA DE L'ASTROLABE;2005;FREHA;3;;;3;;acquisition réhabilitation;;75015;logement familial;48.844194, 2.319203
4-6, AVENUE RENE BOYLESVE, RUE CHARLES DICKENS;2002;LOG.FR.;23;22;;1;;construction neuve;;75016;logement familial;48.856087, 2.284889
46, QUAI DE JEMMAPES;2010;ELOGIE;8;8;;;;construction neuve;;75010;logement familial;48.869666, 2.367071
46, RUE CHAMPIONNET;2011;SIEMP;20;;;20;;construction neuve;;75018;résidence sociale pour démuni;48.895699, 2.348126
46, RUE LAFFITTE;2014;RIVP;19;8;;7;4;acquisition réhabilitation;;75009;logement familial;48.874764, 2.33839
46-48, RUE DES GRAVILLIERS;2011;ELOGIE;21;11;;5;5;construction neuve;;75003;logement familial;48.864152, 2.355722
46-50 RUE DE LA POMPE;2011;PARIS HAB;38;19;;9;10;construction neuve;;75016;logement familial;48.861835, 2.275883
46-50, RUE DE ROMAINVILLE;2011;EMMAUS HAB;151;;;151;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75019;foyer de travailleurs migrants;48.877459, 2.401318
47 RUE SEDAINE;2006;BATIGERE;12;12;;;;construction neuve;;75011;logement familial;48.857147, 2.375022
47, RUE HERMEL;2012;PARIS HAB;15;6;;3;6;construction neuve;;75018;logement familial;48.89438, 2.345967
47-51, RUE DES TROIS FRERES 3, RUE DE LA VIEUVILLE;2011;RIVP;20;20;;;;acquisition conventionnement;;75018;logement familial;48.885384, 2.338892
48 BD AUGUSTE BLANQUI;2006;FREHA;52;;;52;;acquisition réhabilitation;;75013;foyer pour jeunes travailleurs ou résidence pour jeunes;48.830012, 2.350029
48 RUE DU GENERAL DELESTRAINT;2006;PARIS HAB;25;20;;5;;acquisition conventionnement;;75016;logement familial;48.840877, 2.257141
48 RUE GALANDE;2002;ESPERANCE;1;;;;1;acquisition réhabilitation;;75005;logement familial;48.851809, 2.346852
4-8, BD DE DENAIN;2005;PARIS HAB;43;11;;3;29;acquisition conventionnement;;75010;logement familial;48.879391, 2.354527
48, BOULEVARD ARAGO - 28 RUE DE LA GLACIERE;2011;PARIS HAB;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.833081, 2.34449
48, RUE DE LA GLACIERE;2015;ELOGIE;1;;;1;;acquisition réhabilitation;;75013;logement familial;48.833081, 2.34449
4-8, RUE DE LA JUSTICE;2013;RIVP;26;;;;26;acquisition conventionnement;;75020;logement familial;48.869719, 2.407045
48, RUE DU FAUBOURG POISSONNIERE;2007;SIEMP;17;12;;5;;acquisition réhabilitation;;75010;logement familial;48.874335, 2.348062
48-50, RUE DE ROMAINVILLE;2015;EMMAUS HAB;2;;;2;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75019;foyer de travailleurs migrants;48.877459, 2.401318
49 RUE DE LA CHAPELLE;2006;ADOMA;39;;;39;;construction neuve;;75018;résidence sociale pour démuni;48.894151, 2.359149
49, RUE BLANCHE;2008;AXIMO;71;;;;71;acquisition réhabilitation;;75009;établissement d'hébergement pour personnes âgées dépendantes;48.880892, 2.331419
49-49 BIS, RUE DE L'ERMITAGE;2013;RIVP;22;;;;22;acquisition conventionnement;;75020;logement familial;48.871469, 2.392019
5 BIS RUE STENDHAL;2010;RIVP;32;24;;;8;construction neuve;;75020;logement familial;48.860849, 2.402523
5 BIS, CITE DE LA CHAPELLE;2010;SIEMP;25;15;;5;5;acquisition réhabilitation;;75018;logement familial;48.887207, 2.358299
5 RUE DE LA BOULE ROUGE;2004;SEM CENTRE;4;4;;;;acquisition réhabilitation;;75009;logement familial;48.873431, 2.344669
5 RUE VESALE;2009;RIVP;25;;;25;;construction neuve;;75005;centre d'hébergement d'urgence;48.83811, 2.353134
5, QUAI D'AUSTERLITZ - 2, RUE GIFFARD;2005;SAGI;11;;;;11;acquisition réhabilitation;;75013;logement familial;48.837941, 2.372994
5, RUE D'AUBERVILLIERS;2008;SIEMP;35;;;35;;construction neuve;;75018;maison relais;48.884811, 2.36499
5, RUE EMILE LEVEL;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75017;logement familial;48.892714, 2.317853
5, RUE HOUDART;2015;ELOGIE;4;;;4;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75020;site de desserrement de foyer de travailleur migrant;48.863544, 2.387977
5, RUE MONTHOLON;2012;ELOGIE;12;5;;5;2;construction neuve;;75009;logement familial;48.876567, 2.347875
5, RUE RATAUD;2015;ELOGIE;90;36;;27;27;acquisition conventionnement;;75005;logement familial;48.841164, 2.345543
5, SQUARE PATENNE;2014;ELOGIE;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.850106, 2.40541
50 RUE DAGUERRE;2009;RIVP;7;5;;2;;acquisition réhabilitation;;75014;logement familial;48.83475, 2.3276
50 RUE DE LA FONTAINE AU ROI;2016;SIEMP;5;5;;;;acquisition réhabilitation;;75011;logement familial;48.868006, 2.373195
50 RUE DES TOURNELLES;2008;ELOGIE;8;8;;;;acquisition conventionnement;;75003;logement familial;48.856214, 2.367392
50, RUE DE BAGNOLET - 5, RUE DES ORTEAUX;2003;LERICHEMONT;13;;;13;;acquisition réhabilitation;;75020;foyer pour jeunes travailleurs ou résidence pour jeunes;48.857151, 2.398665
50, RUE DU CHÂTEAU LANDON;2015;AXIMO;1;1;;;;acquisition conventionnement;;75010;logement familial;48.883414, 2.364165
50-52 RUE DE CLISSON;2012;COALLIA;182;;;182;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;foyer de travailleurs migrants;48.831142, 2.366271
51 RUE CLAUDE BERNARD;2006;IMM 3F;14;5;;2;7;acquisition conventionnement;;75005;logement familial;48.840423, 2.345369
51 RUE DE LOURMEL;2016;PARIS HAB;1;1;;;;acquisition conventionnement;;75015;logement familial;48.847021, 2.289296
51 RUE DU TEMPLE;2011;BATIGERE;4;4;;;;acquisition réhabilitation;;75004;logement familial;48.860004, 2.35438
51-59, RUE BARON LE ROY;2008;SAGECO;27;;;27;;construction neuve;;75012;maison relais;48.834653, 2.388268
51-59, RUE BARON LE ROY;2008;SAGECO;22;;;22;;construction neuve;;75012;résidence sociale pour démuni;48.834653, 2.388268
52, RUE CUSTINE;2014;PARIS HAB;40;16;;12;12;acquisition conventionnement;;75018;logement familial;48.889527, 2.344301
52, RUE SERVAN;2008;RIVP;22;;;22;;construction neuve;;75011;centre d'hébergement d'urgence;48.862826, 2.381937
52-58, RUE MYRHA;2005;PARIS HAB;21;21;;;;construction neuve;;75018;logement familial;48.886892, 2.351703
53 RUE DE VOUILLE;2009;RIVP;5;3;;2;;construction neuve;;75015;logement familial;48.833692, 2.308924
53, RUE COMPANS 18 RUE DE CRIMEE;2003;PARIS HAB;7;7;;;;construction neuve;;75019;logement familial;48.878785, 2.392461
53, RUE LEON;2014;FREHA;20;;;20;;acquisition réhabilitation;;75018;maison relais;48.890009, 2.35325
54 BIS, AVENUE MOZART;2002;PARIS HAB;27;20;;7;;acquisition conventionnement;;75016;logement familial;48.854938, 2.269459
54, RUE DU RUISSEAU;2013;RSF;36;;;36;;construction neuve;;75018;centre d'hébergement d'urgence;48.894202, 2.340649
54, RUE PIERRE LAROUSSE;2015;RIVP;1;;;1;;acquisition réhabilitation;;75014;logement familial;48.830186, 2.312581
55-57 RUE CHARDON LAGACHE;2010;PARIS HAB;47;;;47;;construction neuve;;75016;résidence sociale pour démuni;48.842671, 2.264639
56-58 RUE LEON FROT 3 RUE CARRIERE MAINGUET;2005;SEMIDEP;15;15;;;;acquisition réhabilitation;projet abandonné refinancé;75011;logement familial;48.856557, 2.386828
56-58 RUE LEON FROT 3 RUE CARRIERE MAINGUET;2010;SEMIDEP;5;-1;;6;;construction neuve;régularisation sur agrément antérieur;75011;logement familial;48.856557, 2.386828
57 AVENUE DE SAINT OUEN;2009;TOIT&JOIE;12;8;;2;2;acquisition réhabilitation;;75017;logement familial;48.891426, 2.326728
5-7, PASSAGE LATHUILLE;2016;SIEMP;6;3;;3;;construction neuve;;75018;logement familial;48.884805, 2.327434
5-7, RUE EDGAR POE;2014;PARIS HAB;32;4;;3;25;acquisition réhabilitation;;75019;logement familial;48.877096, 2.377103
57, RUE MYRHA;2007;RIVP;8;;8;;;construction neuve;;75018;logement familial;48.886798, 2.351671
51-53, RUE DE LOURMEL 99-101, AVENUE EMILE ZOLA;2010;PARIS HAB;2;1;;1;;acquisition conventionnement;;75015;logement familial;48.84646, 2.283293
52 RUE STENDHAL- 55/57 RUE DES PRAIRIES;2001;OSICA;3;3;;;;acquisition réhabilitation;;75020;logement familial;48.86349, 2.401797
52, BD SAINT JACQUES;2016;RIVP;63;5;;6;52;acquisition conventionnement;;75014;logement familial;48.83381, 2.335065
52, RUE CURIAL 13, PASSAGE DE CRIMEE;2013;SIEMP;17;;;;17;construction neuve;;75019;logement familial;48.89252, 2.373798
52, RUE DE VOUILLE;2015;ELOGIE;8;3;;3;2;construction neuve;;75015;logement familial;48.833875, 2.30774
52, RUE SERVAN;2008;RIVP;20;;;20;;construction neuve;;75011;maison relais;48.862826, 2.381937
52-54 RUE RIQUET;2004;ESPACILHAB;105;;;;105;construction neuve;;75019;résidence pour étudiants;48.889575, 2.369624
53, BD DE ROCHECHOUART;2009;PARIS HAB;11;;8;3;;acquisition réhabilitation;;75009;logement familial;48.879358, 2.345635
53-55 RUE SEBASTIEN MERCIER;2012;RIVP;9;9;;;;acquisition conventionnement;;75015;logement familial;48.843358, 2.281138
54-68, 70-72 ET 109-111, BOULEVARD SERURIER;2016;PARIS HAB;595;328;;89;178;acquisition conventionnement;;75019;logement familial;48.880632, 2.397501
55, RUE COMPANS;2005;SIEMP;15;;;;15;acquisition réhabilitation;;75019;logement familial;48.878899, 2.392425
55, RUE D'ALESIA;2010;ELOGIE;8;6;;2;;acquisition réhabilitation;;75014;logement familial;48.827715, 2.330633
55-57, RUE CHAMPIONNET - 3-5, PASSAGE CHAMPIONNET;2004;SIEMP;3;3;;;;acquisition réhabilitation;;75018;logement familial;48.895552, 2.347659
5-5BIS RUE BASFROI;2007;SNL-PROLOG;6;;;6;;acquisition réhabilitation;;75011;logement familial;48.853856, 2.380095
5-5BIS RUE DE VAUCOULEURS;2016;HSF;17;7;;5;5;construction neuve;;75011;logement familial;48.868718, 2.377783
56, RUE RENE BOULANGER;2009;TOIT&JOIE;12;10;;2;;acquisition conventionnement;;75010;logement familial;48.868873, 2.359225
56-58 RUE PIAT;2010;RIVP;10;5;;;5;construction neuve;;75020;logement familial;48.873324, 2.38337
56-58, RUE LEON FROT 3, RUE CARRIERE MAINGUET;2016;ELOGIE;6;4;;2;;construction neuve;;75011;logement familial;48.856557, 2.386828
57 A 69 RUE DE PATAY - 1 A 7 RUE TROLLEY DE PREVAUX (LOT H2);2006;PARIS HAB;20;20;;;;construction neuve;;75013;foyer pour personnes handicapées;48.826183, 2.372818
5-7, RUE DU SAHEL;2012;RIVP;8;5;;3;;construction neuve;;75012;logement familial;48.841191, 2.401755
57-59 RUE PIAT;2016;SABLIERE;24;;;;24;construction neuve;;75020;résidence pour étudiants;48.872457, 2.384278
57-59, RUE DE JAVEL;2011;ELOGIE;27;;;27;;construction neuve;;75015;maison relais;48.845299, 2.283023
5-7-9-11 RUE DES DEUX BOULES / 16, RUE BERTIN POIREE;2010;IMM 3F;4;2;;2;;acquisition réhabilitation;;75001;logement familial;48.858843, 2.344771
58, BD DE STRASBOURG;2011;ERIGERE;70;49;;7;14;acquisition conventionnement;;75010;logement familial;48.873596, 2.356884
58-62, RUE DE MOUZAIA;2014;RIVP;100;100;;;;construction neuve;;75019;résidence pour étudiants;48.880207, 2.397856
59 RUE FALGUIERE;2002;PARIS HAB;45;34;;11;;acquisition réhabilitation;;75015;logement familial;48.840818, 2.313286
59, RUE OLIVIER METRA;2014;RIVP;85;;;;85;construction neuve;;75020;logement familial;48.874644, 2.392676
59, RUE STEPHENSON;2009;SIEMP;10;;10;;;acquisition réhabilitation;;75018;logement familial;48.889984, 2.355752
5BIS ET 7 PASSAGE PENEL 92-94 RUE CHAMPIONNET;2005;SIEMP;9;9;;;;construction neuve;;75018;logement familial;48.895552, 2.347659
6 CITE DEBERGUE;2005;ELOGIE;2;;;;2;acquisition réhabilitation;;75012;logement familial;48.845921, 2.40447
6 RUE DARMESTETER;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.822769, 2.375643
6 RUE DES FAVORITES;2002;SAGECO;71;71;;;;acquisition conventionnement;;75015;logement familial;48.839558, 2.302735
6 RUE DU CAPITAINE MADON;2007;SEMIDEP;7;;;7;;acquisition réhabilitation;;75018;logement familial;48.890177, 2.327543
6 RUE DU PARC ROYAL;2008;ELOGIE;11;11;;;;acquisition conventionnement;;75003;logement familial;48.858472, 2.363608
6 RUE FERRANDI, 89 RUE DU CHERCHE MIDI;2007;AXIMO;7;;;;7;acquisition réhabilitation;projet abandonné;75006;logement familial;48.851348, 2.329078
6 VILLA MODERNE;2004;SAGI;23;23;;;;construction neuve;;75014;logement familial;48.830545, 2.324409
6, CITE DES TROIS BORNES;2007;PARIS HAB;12;12;;;;acquisition réhabilitation;;75011;logement familial;48.86684, 2.372188
6, PASSAGE DE MELUN;2007;RIVP;15;15;;;;construction neuve;;75019;logement familial;48.883709, 2.376524
6, RUE CHARLES BERTHEAU;2008;LOG.FR.;48;;;;48;acquisition conventionnement;;75013;logement familial;48.823277, 2.363973
6, RUE DE CASABLANCA 39-41, RUE DURANTON;2011;SMABTP;26;;;;26;construction neuve;;75015;logement familial;48.838963, 2.288944
6, RUE DE CHAMBIGES;2009;PARIS HAB;11;7;;1;3;acquisition conventionnement;;75008;logement familial;48.866815, 2.303724
6, RUE DE LA FOLIE MERICOURT;2014;RIVP;2;;;2;;construction neuve;;75011;logement familial;48.861538, 2.374715
6, RUE DES PROUVAIRES;2014;PARIS HAB;16;7;;4;5;acquisition conventionnement;;75001;logement familial;48.861436, 2.34425
6, RUE GASSENDI 41, RUE FROIDEVAUX;2016;RIVP;13;5;;8;;acquisition réhabilitation;;75014;logement familial;48.835047, 2.330648
6, RUE MONTESQUIEU;2011;ELOGIE;24;;;24;;construction neuve;;75001;maison relais;48.863146, 2.338958
60, BOULEVARD MAGENTA;2015;AXIMO;1;;;1;;acquisition conventionnement;;75010;logement familial;48.873659, 2.358668
60, RUE BAYEN;2012;PARIS HAB;16;16;;;;acquisition réhabilitation;;75017;logement familial;48.883648, 2.289995
61, AVENUE DE SUFFREN;2016;AXIMO;1;;;1;;acquisition conventionnement;;75005;logement familial;48.841545, 2.357619
61, RUE DOUDEAUVILLE;2015;RIVP;17;10;;;7;acquisition réhabilitation;;75018;logement familial;48.888245, 2.351833
61, RUE DOUDEAUVILLE;2015;RIVP;7;;;7;;acquisition réhabilitation;;75018;logement familial;48.888245, 2.351833
61, RUE DU FAUBOURG SAINT MARTIN;2015;AXIMO;1;;;1;;acquisition conventionnement;;75010;logement familial;48.871623, 2.356947
